parameter_id,JAX_PLC_002_001
pvalue,0.1507649
parameter_name,HDL cholesterol
analysis_id,y8p9u5aay3n3j6h
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
