parameter_name,Blood Vessel Morphology
pvalue,0.6293767
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Frmpd1
analysis_id,26s22pow6p8r18r
gene_accession_id,MGI:2446274
parameter_id,IMPC_GEO_011_001
