analysis_id,87txeu4r340886e
gene_symbol,Snap23
pvalue,0.3664424
mouse_life_stage,Middle aged adult
parameter_id,IMPC_CBC_005_001
parameter_name,Creatinine
gene_accession_id,MGI:109356
mouse_strain,C57BL
