parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
gene_symbol,Zfp683
pvalue,0.3398716
mouse_strain,C57BL
analysis_id,80a4ebq0x5363bq
gene_accession_id,MGI:3650254
