analysis_id,4s4783z1993k562
gene_accession_id,MGI:95576
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Lens
gene_symbol,Fpgs
pvalue,0.6879467
parameter_id,IMPC_EYE_016_001
