parameter_id,MGP_BMI_014_001
gene_accession_id,MGI:1339969
mouse_life_stage,Early adult
pvalue,0.2307961
gene_symbol,Gja10
analysis_id,q1za6m055k6xj0n
mouse_strain,C57BL
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
