parameter_name,Eosinophils
mouse_strain,C57BL
gene_symbol,Kdm4c
mouse_life_stage,Early adult
pvalue,0.08764084
gene_accession_id,MGI:1924054
parameter_id,IMPC_IMM_052_001
analysis_id,h0wa6es9q8g9634
