analysis_id,23jw7v7179q183j
pvalue,0.407705
mouse_strain,C57BL
parameter_name,Whole arena resting time
mouse_life_stage,Early adult
gene_symbol,Car13
parameter_id,ESLIM_007_001_003
gene_accession_id,MGI:1931322
