parameter_name,Glucose response AUC
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:109384
gene_symbol,Atf3
pvalue,0.4298094
analysis_id,jf8x0aonk98pc6q
