gene_symbol,Mgst2
parameter_id,MGP_PBI_011_001
pvalue,0.3743033
analysis_id,96y216h9573k9zt
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
parameter_name,KLRG1+ mature NK cell percentage
