analysis_id,66q3o0b18q6319n
gene_symbol,Tiprl
pvalue,0.6598518
parameter_name,Lean/Body weight
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_DXA_008_001
gene_accession_id,MGI:1915087
