parameter_name,Hindlimb digit - size
analysis_id,bo0f5g33p108r65
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
gene_symbol,Rab17
gene_accession_id,MGI:104640
pvalue,0.6039563
mouse_life_stage,Early adult
