parameter_id,MGP_MLN_076_001
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
pvalue,0.3265466
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Naive CD8+ T cells - % of CD45+
analysis_id,226681t2w2b6208
