analysis_id,7h17kk6k98r8156
parameter_name,Fractional Shortening
pvalue,0.3225704
mouse_strain,C57BL
gene_symbol,Tbl1xr1
parameter_id,IMPC_ECH_005_001
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
