mouse_strain,C3H
pvalue,1.916865e-07
mouse_life_stage,Early adult
parameter_name,Prepulse inhibition - PP2
gene_symbol,Mecom
gene_accession_id,MGI:95457
analysis_id,3zyat5744btf5sp
parameter_id,ESLIM_011_001_702
