parameter_id,CCP_XRY_001_001
parameter_name,Skull shape
analysis_id,p455923kgl3jrxy
gene_accession_id,MGI:1915087
pvalue,0.5404982
gene_symbol,Tiprl
mouse_strain,C57BL
mouse_life_stage,Early adult
