gene_symbol,Opn3
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1338022
analysis_id,hl850pf33825ui5
pvalue,0.8876828
parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
