analysis_id,24ha9x53riq411j
mouse_strain,C57BL
gene_accession_id,MGI:1934811
mouse_life_stage,Late adult
parameter_id,IMPC_GEL_006_001
gene_symbol,Nucks1
pvalue,0.8591414
parameter_name,Pericardium Morphology
