parameter_name,Bone Area
gene_symbol,Atg4c
pvalue,9.935485e-05
gene_accession_id,MGI:2651854
parameter_id,IMPC_DXA_010_001
mouse_life_stage,Early adult
analysis_id,zx68ofn5j4ql6to
mouse_strain,C57BL
