gene_symbol,Hspa5
parameter_name,Total NK cells - % of CD45+
pvalue,0.8509729
parameter_id,MGP_MLN_031_001
analysis_id,e164v94iw1os540
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
