parameter_name,End-Diastolic Diameter
analysis_id,ln2b6erx74188uf
parameter_id,IMPC_ECH_002_001
mouse_life_stage,E15.5
gene_symbol,Fgb
pvalue,0.5813827
gene_accession_id,MGI:99501
mouse_strain,C57BL
