analysis_id,6g6087y78mwtmhv
pvalue,0.7271868
parameter_name,Mean-cell-volume
parameter_id,M-G-P_016_001_005
mouse_strain,C57BL
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
