parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
analysis_id,10255zen1v34k7n
mouse_life_stage,Early adult
pvalue,0.8735791
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
mouse_strain,129SV
