analysis_id,56pyd335c93v02w
mouse_strain,B6J
mouse_life_stage,Early adult
gene_symbol,Nr0b2
pvalue,0.9226884
parameter_name,Coat - hair distribution - back
gene_accession_id,MGI:1346344
parameter_id,IMPC_CSD_011_001
