analysis_id,3q3excht7y6nt30
parameter_name,Body position
gene_accession_id,MGI:109384
gene_symbol,Atf3
parameter_id,ESLIM_008_001_001
mouse_life_stage,Early adult
pvalue,0.9088145
mouse_strain,C57BL
