analysis_id,8dw9ycgh3490i7q
pvalue,0.383678
parameter_name,Hematocrit
gene_symbol,Rgs20
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
mouse_strain,C58BL
parameter_id,IMPC_HEM_004_001
