analysis_id,707cwu5t6t0934m
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_005_002
gene_accession_id,MGI:2140475
pvalue,0.486404
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_symbol,AU040320
mouse_strain,C57BL
