gene_symbol,Sema6c
pvalue,0.4516281
parameter_name,Hindlimb nail - number
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_id,IMPC_CSD_051_002
mouse_life_stage,Early adult
analysis_id,v946920ol614uv6
