gene_symbol,Amigo1
gene_accession_id,MGI:2653612
mouse_strain,C57BL
parameter_id,IMPC_DXA_003_001
parameter_name,Lean mass
analysis_id,69zf3u022vnj5bx
pvalue,0.5919242
mouse_life_stage,Early adult
