analysis_id,6s7c1pwl81m334r
gene_symbol,Cdin1
parameter_id,IMPC_EYE_092_001
pvalue,0.2692635
mouse_strain,C57BL
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
parameter_name,Retina (combined)
