gene_symbol,Frmpd1
parameter_name,Persistence of hyaloid vascular system
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
parameter_id,IMPC_EYE_027_001
pvalue,0.6165263
mouse_strain,C57BL
analysis_id,wt86yejwe91u40e
