parameter_name,B cell percentage
gene_symbol,Atg4c
mouse_life_stage,Early adult
pvalue,0.6821668
analysis_id,8d900w0by9d9pfx
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
gene_accession_id,MGI:2651854
