parameter_name,Periphery permanence time
gene_accession_id,MGI:95835
pvalue,0.6911035
mouse_strain,C57BL
analysis_id,bc3156i71yp5t4q
mouse_life_stage,Early adult
gene_symbol,Hspa5
parameter_id,IMPC_OFD_012_001
