analysis_id,9ja2myev484vn30
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
gene_symbol,Frmpd1
parameter_id,MGP_PBI_010_001
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
pvalue,0.2379289
