parameter_name,Upper teeth appearance
pvalue,0.5815196
mouse_strain,C57BL
parameter_id,IMPC_CSD_069_001
gene_symbol,Tox
gene_accession_id,MGI:2181659
analysis_id,c2ly613wt12ilr7
mouse_life_stage,Early adult
