parameter_id,IMPC_GRS_011_001
gene_accession_id,MGI:1860103
mouse_strain,C57BL
analysis_id,f39y86t5hedrrbb
pvalue,0.6537667
gene_symbol,Slc2a8
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
