parameter_name,Edema
analysis_id,7l500wgry8r27yk
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_064_001
gene_symbol,Cntfr
mouse_strain,129SV
gene_accession_id,MGI:99605
pvalue,0.5195957
