analysis_id,i288opm4rzmd828
mouse_strain,C57BL
pvalue,0.845382
mouse_life_stage,Early adult
parameter_name,Embryo turning
gene_symbol,Cntfr
gene_accession_id,MGI:99605
parameter_id,IMPC_GEL_011_001
