analysis_id,p34n9er5te6lc4x
gene_symbol,Slc39a10
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1914515
parameter_id,HRWLLA_OFD_010_001
parameter_name,Periphery distance travelled
pvalue,0.7358168
