gene_symbol,Fpgs
analysis_id,l00246991621v3y
gene_accession_id,MGI:95576
pvalue,0.06429802
parameter_id,IMPC_ECG_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,CV
