analysis_id,jo3121jnm1t19i7
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2744174
parameter_id,JAX_OFD_020_001
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
parameter_name,Distance travelled - total
