gene_symbol,Car13
analysis_id,4v5nct3o2217ut9
parameter_name,Mean-cell-volume
pvalue,0.1068125
parameter_id,M-G-P_016_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
mouse_strain,C57BL
