parameter_name,ST
analysis_id,5943j15rjz72zq7
parameter_id,IMPC_ECG_008_001
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:1913483
pvalue,0.52569
gene_symbol,Dmap1
