gene_symbol,Cisd2
parameter_name,Resting NK cells - % of NK cells
analysis_id,7w9t46ga0vky174
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.08780083
gene_accession_id,MGI:1914256
parameter_id,MGP_MLN_033_001
