analysis_id,43w3067p6471q81
parameter_id,IMPC_GEL_060_001
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
pvalue,0.6950485
parameter_name,Neural tube morphology
gene_symbol,Lcn2
mouse_strain,C57BL
