parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:2670995
parameter_name,Mean-cell-volume
mouse_strain,C57BL
gene_symbol,Trp53i11
mouse_life_stage,Early adult
pvalue,0.3971995
analysis_id,09f3guuuj6fx0zw
