gene_symbol,Sla2
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:1925049
pvalue,0.6444808
parameter_id,TCPLA_GRS_011_001
analysis_id,7l8ekfb1s1zb5gs
mouse_life_stage,Early adult
mouse_strain,C57BL
