analysis_id,15u5db590211z91
gene_accession_id,MGI:97838
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_life_stage,E12.5
parameter_id,MGP_PBI_009_001
pvalue,0.8932559
