gene_symbol,Tbl1xr1
analysis_id,2l1nd537d2y1oos
parameter_id,M-G-P_013_001_001
pvalue,0.6793582
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
parameter_name,Eye
mouse_strain,C55BL
