parameter_name,CD8 CD44+CD62L- T cells
parameter_id,IMPC_IMM_032_001
mouse_strain,C57BL
analysis_id,2jui2y4d425d02s
gene_accession_id,MGI:1914561
mouse_life_stage,E18.5
gene_symbol,Nanp
pvalue,0.4945738
