mouse_strain,129SV
parameter_name,Basophil cell count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_037_001
pvalue,0.6085175
analysis_id,o43658z9wxpo1n8
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
