parameter_name,Total T cell percentage
mouse_life_stage,Early adult
gene_symbol,Ufc1
pvalue,0.7156059
analysis_id,xd9p0lt7d8106p5
parameter_id,MGP_PBI_001_001
mouse_strain,C55BL
gene_accession_id,MGI:1913405
