analysis_id,c7m05r15a657z9k
parameter_name,Heart weight
gene_symbol,Maco1
parameter_id,HMGULA_HWT_008_001
mouse_strain,C51BL
gene_accession_id,MGI:1913396
pvalue,0.9763393
mouse_life_stage,Early adult
