parameter_name,BMC/Body weight
gene_accession_id,MGI:1336200
parameter_id,JAXLA_DXA_007_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
analysis_id,5b9nm87t44u933s
pvalue,0.1770316
