analysis_id,9m19ene7326w34b
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Cholesterol ratio
pvalue,0.7727452
parameter_id,IMPC_CBC_058_001
