gene_symbol,Trim46
pvalue,0.9199616
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of Treg
parameter_id,MGP_MLN_010_001
analysis_id,67ir7m27e97ll45
gene_accession_id,MGI:2673000
