parameter_name,Neutrophils
mouse_life_stage,Early adult
analysis_id,c950w5fwg388v7v
parameter_id,IMPC_IMM_050_001
gene_symbol,Tox
gene_accession_id,MGI:2181659
pvalue,0.1998108
mouse_strain,C57BL
