analysis_id,91mz29m4d36fl38
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total holepokes
gene_symbol,Pum1
parameter_id,JAXLA_HBD_001_001
pvalue,0.8240813
