gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_028_001
analysis_id,6k13z2898g1u9zz
pvalue,0.2621376
mouse_strain,129SV
