analysis_id,mxcvn5644367btu
mouse_life_stage,E12.5
parameter_id,CCP_LFO_001_001
pvalue,0.1228268
mouse_strain,C57BL
gene_symbol,Hspa5
gene_accession_id,MGI:95835
parameter_name,Weight
