parameter_name,center - distance
gene_symbol,Sprr1b
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
pvalue,0.1390265
analysis_id,t1j62076wsa334n
gene_accession_id,MGI:106659
