gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
parameter_id,IMPC_HWT_008_001
mouse_strain,C57BL
pvalue,0.9322073
parameter_name,Heart weight
analysis_id,bb3845df9k29c3e
mouse_life_stage,Early adult
