parameter_name,Hemorrhage
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Psmd14
pvalue,0.4975214
analysis_id,r52p5y8647tatya
gene_accession_id,MGI:1913284
parameter_id,IMPC_GEO_009_002
