parameter_name,HR
gene_symbol,Dnajc8
analysis_id,l8b4my0712obu7k
gene_accession_id,MGI:1915848
parameter_id,JAXLA_ECG_002_001
mouse_life_stage,Early adult
pvalue,0.5417232
mouse_strain,C57BL
